universe_index,family,taxon,iucn_problem_state,fresh_iucn_threat_reference_present,resolution,checked_at,powo_state,powo_matched_canonical,powo_scientific_name,powo_authorship,powo_taxonomic_status,powo_accepted_name,powo_accepted_id,powo_taxon_id,powo_source_sha256,powo_error,wfo_state,wfo_matched_canonical,wfo_scientific_name,wfo_authorship,wfo_taxonomic_status,wfo_accepted_name,wfo_accepted_id,wfo_taxon_id,wfo_source_sha256,wfo_error,anthos_state,anthos_matched_canonical,anthos_scientific_name,anthos_authorship,anthos_taxonomic_status,anthos_accepted_name,anthos_accepted_id,anthos_taxon_id,anthos_source_sha256,anthos_error
1129,CISTACEAE,Halimium umbellatum subsp. viscosum,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538419+00:00,EXACT_CANONICAL_FOUND,Halimium umbellatum subsp. viscosum,Halimium umbellatum subsp. viscosum,(Willk.) O.Bolòs & Vigo,Synonym,,2603985,2838284,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Halimium umbellatum subsp. viscosum,Halimium umbellatum subsp. viscosum,(Willk.) O.Bolòs & Vigo,Synonym,,wfo-0000506826,wfo-0000714774,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Halimium umbellatum subsp. viscosum,Halimium umbellatum subsp. viscosum (Willk.) O. Bolòs & Vigo,(Willk.) O. Bolòs & Vigo,,,,FUND. BIODIVERSIDAD:ANTHOS:1124699,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1130,RUTACEAE,Haplophyllum linifolium,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538433+00:00,EXACT_CANONICAL_FOUND,Haplophyllum linifolium,Haplophyllum linifolium,Schur,Illegitimate,,3265043,2839397,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Haplophyllum linifolium,Haplophyllum linifolium,(L.) G.Don,Accepted,,,wfo-0000715558,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Haplophyllum linifolium,Haplophyllum linifolium (L.) G. Don,(L.) G. Don,,,,FUND. BIODIVERSIDAD:ANTHOS:26581,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1132,ARALIACEAE,Hedera helix subsp. helix,NO_EXACT_MATCH,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538447+00:00,EXACT_CANONICAL_NOT_FOUND,,,,,,,,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Hedera helix subsp. helix,Hedera helix subsp. helix,,Unchecked,,,wfo-1200108643,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Hedera helix subsp. helix,Hedera helix subsp. helix L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:48587,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1133,ARALIACEAE,Hedera hibernica,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538461+00:00,EXACT_CANONICAL_FOUND,Hedera hibernica,Hedera hibernica,Poit.,Accepted,,96738,96738,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Hedera hibernica,Hedera hibernica,Carrière,Synonym,,wfo-1200025985,wfo-0000979815,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Hedera hibernica,Hedera hibernica (G. Kirchn.) Bean,(G. Kirchn.) Bean,,,,FUND. BIODIVERSIDAD:ANTHOS:1845435,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1136,FABACEAE,Hedysarum boveanum subsp. europaeum,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538475+00:00,EXACT_CANONICAL_FOUND,Hedysarum boveanum subsp. europaeum,Hedysarum boveanum subsp. europaeum,Guitt. & Kerguélen,Accepted,,2841071,2841071,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Hedysarum boveanum subsp. europaeum,Hedysarum boveanum subsp. europaeum,Guitt. & Kerguélen,Accepted,,,wfo-0000191406,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Hedysarum boveanum subsp. europaeum,Hedysarum boveanum subsp. europaeum Guitt. & Kerguélen,Guitt. & Kerguélen,,,,FUND. BIODIVERSIDAD:ANTHOS:848907,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1137,FABACEAE,Hedysarum confertum,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538488+00:00,EXACT_CANONICAL_FOUND,Hedysarum confertum,Hedysarum confertum,Desf.,Synonym,,2389183,2841153,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Hedysarum confertum,Hedysarum confertum,"sensu Greuter & al., p.p.A",Synonym,,wfo-0000191406,wfo-0000191409,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1138,FABACEAE,Hedysarum spinosissimum,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538503+00:00,EXACT_CANONICAL_FOUND,Hedysarum spinosissimum,Hedysarum spinosissimum,L.,Synonym,,2589953,2841718,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Hedysarum spinosissimum,Hedysarum spinosissimum,L.,Synonym,,wfo-0000497870,wfo-0000204788,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Hedysarum spinosissimum,Hedysarum spinosissimum L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:182564,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1141,CISTACEAE,Helianthemum apenninum subsp. stoechadifolium,NO_EXACT_MATCH,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538519+00:00,EXACT_CANONICAL_FOUND,Helianthemum apenninum subsp. stoechadifolium,Helianthemum apenninum subsp. stoechadifolium,(Brot.) Samp.,Accepted,,3240751,3240751,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Helianthemum apenninum subsp. stoechadifolium,Helianthemum apenninum subsp. stoechadifolium,(Brot.) Samp.,Accepted,,,wfo-1200012176,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Helianthemum apenninum subsp. stoechadifolium,Helianthemum apenninum subsp. stoechadifolium (Brot.) Samp.,(Brot.) Samp.,,,,FUND. BIODIVERSIDAD:ANTHOS:27324,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1142,CISTACEAE,Helianthemum cinereum subsp. rotundifolium,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538534+00:00,EXACT_CANONICAL_FOUND,Helianthemum cinereum subsp. rotundifolium,Helianthemum cinereum subsp. rotundifolium,(Dunal) Greuter & Burdet,Synonym,,2842738,2842357,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Helianthemum cinereum subsp. rotundifolium,Helianthemum cinereum subsp. rotundifolium,(Dunal) Greuter & Burdet,Synonym,,wfo-0000717709,wfo-0000717377,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Helianthemum cinereum subsp. rotundifolium,Helianthemum cinereum subsp. rotundifolium (Dunal) Greuter & Burdet,(Dunal) Greuter & Burdet,,,,FUND. BIODIVERSIDAD:ANTHOS:47816,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1143,CISTACEAE,Helianthemum hirtum,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538546+00:00,EXACT_CANONICAL_FOUND,Helianthemum hirtum,Helianthemum hirtum,(L.) Mill.,Accepted,,2842494,2842494,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Helianthemum hirtum,Helianthemum hirtum,(L.) Mill.,Accepted,,,wfo-0000717501,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Helianthemum hirtum,Helianthemum hirtum (L.) Mill.,(L.) Mill.,,,,FUND. BIODIVERSIDAD:ANTHOS:47817,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1146,CISTACEAE,Helianthemum oelandicum subsp. incanum,NO_EXACT_MATCH,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538565+00:00,EXACT_CANONICAL_FOUND,Helianthemum oelandicum subsp. incanum,Helianthemum oelandicum subsp. incanum,(Willk.) G.López,Synonym,,3265062,2842646,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Helianthemum oelandicum subsp. incanum,Helianthemum oelandicum subsp. incanum,(Willk.) G.López,Synonym,,wfo-1200071947,wfo-0000717636,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Helianthemum oelandicum subsp. incanum,Helianthemum oelandicum subsp. incanum (Willk.) G. López,(Willk.) G. López,,,,FUND. BIODIVERSIDAD:ANTHOS:27394,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
