position309,B_SOURCE_RECORD_ID,nameVerbatim,sourceRank,isHybrid,finalCategory,ID_TAXON_EXACT,state
41,1192,Betula pendula var. meridionalis,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
42,3787,Biscutella valentina var. laevigata,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
43,3788,Biscutella valentina var. valentina,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
44,3789,Biscutella valentina var. variegata,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
45,415,Blechnum spicant var. spicant,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
46,1298,Brachypodium pinnatum x B. phoenicoides,species,True,CONFLICT,,CONFLICT_HYBRID_FORMULA_REQUIRES_EXPLICIT_IDENTITY_EVIDENCE
47,4058,Bromus catharticus,species,False,RESOLVED,1079,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
48,4958,Bupleurum baldense subsp. baldense,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
49,910,Bupleurum ranunculoides subsp. gramineus,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
50,911,Bupleurum ranunculoides subsp. ranunculoides,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
51,305,Calystegia sepium subsp. sepium,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
52,3378,Campanula glomerata subsp. glomerata,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
53,3587,Campanula hispanica,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
54,1172,Campanula paui,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
55,3629,Campanula trachelium subsp. trachelium,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
56,3767,Campanula urbionensis,species,False,RESOLVED,3011,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
57,4858,Carduus assoi,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
58,2152,Carduus nutans subsp. nutans,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
59,3164,Carex flacca subsp. flacca,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
60,3165,Carex flacca subsp. serrulata,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
61,1968,Carex muricata subsp. lamprocarpa,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
62,2308,Carex ovalis,species,False,CONFLICT,,CONFLICT_MULTIPLE_EXACT_EIDOS_IDS_VIA_DOCUMENTED_NETWORK
63,4021,Carlina vulgaris subsp. vulgaris,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
64,2629,Carthamus lanatus subsp. lanatus,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
65,2758,Centaurea debeauxii subsp. nemoralis,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
66,2296,Centaurea ornata x C. scabiosa,species,True,CONFLICT,,CONFLICT_HYBRID_FORMULA_REQUIRES_EXPLICIT_IDENTITY_EVIDENCE
67,2367,Centaurea paniculata subsp. castellana,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
68,3681,Centaurea triumfetti subsp. lingulata,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
69,3903,Centaurea vinyalsii,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
70,4002,Centaurea x zubiae,species,True,CONFLICT,,CONFLICT_HYBRID_FORMULA_REQUIRES_EXPLICIT_IDENTITY_EVIDENCE
71,3006,Centaurium erythraea subsp. grandiflorum,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
